1000 YATIRIMLAR HOLDİNG A.Ş.,"['BINHO', '1000 YATIRIMLAR HOLDİNG', '1000 YATIRIMLAR', '1000 YATIRIM']"
A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,"['AVOD', 'A.V.O.D. KURUTULMUŞ GIDA VE TARIM ÜRÜNLERİ']"
A1 CAPITAL YATIRIM MENKUL DEĞERLER A.Ş.,"['A1CA', 'ACP', 'A1 CAPITAL']"
ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,"['ACSEL', 'ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET', 'ACISELSAN']"
ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,"['ADEL', 'ADEL KALEMCİLİK TİCARET VE SANAYİ']"
ADESE GAYRİMENKUL YATIRIM A.Ş.,"['ADESE', 'ADESE GAYRİMENKUL']"
ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,"['ADGYO', 'ADRA GAYRİMENKUL']"
AFYON ÇİMENTO SANAYİ T.A.Ş.,"['AFYON', 'AFYON ÇİMENTO SANAYİ', 'AFYON ÇİMENTO']"
AG ANADOLU GRUBU HOLDİNG A.Ş.,"['AGHOL', 'AG ANADOLU GRUBU HOLDİNG', 'ANADOLU GRUBU']"
AGESA HAYAT VE EMEKLİLİK A.Ş.,"['AGESA', 'AGESA HAYAT VE EMEKLİLİK', 'AGESA EMEKLILIK']"
AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,"['AGROT', 'AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM', 'AGROTECH']"
AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,"['AHGAZ', 'AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM', 'AHLATCI', 'AHLATCI DOĞAL GAZ']"
AK FAKTORİNG A.Ş.,"['AKSFA', 'AK FAKTORİNG']"
